x,y
0.631903199,0.807973197
0.643257767,0.289694944
0.729435612,0.139071366
0.468539855,0.565798882
0.143098445,0.303589023
0.384627979,0.458832301
0.094681085,0.454153261
0.632229673,0.526456447
0.967681728,0.853371227
0.721833253,0.398169025
0.65437117,0.940234663
0.944033582,0.966366887
0.642923971,0.247070727
0.52657151,0.79312763
0.049763443,0.228686914
0.670962523,0.727956141
0.355936433,0.359593331
0.834495179,0.861413073
0.533880216,0.222413833
0.513110088,0.239805766
0.139149964,0.442275337
0.898933474,0.041025648
0.139088912,0.267430571
0.812994066,0.468649314
0.301375087,0.688861135
0.192707718,0.148421371
0.196125911,0.620671129
0.751686732,0.797912727
0.320440461,0.350332517
0.239065492,0.688130268
0.953964872,0.887948286
0.862472951,0.863570325
0.767107197,0.062459722
0.445875952,0.446025428
0.691973587,0.69169371
0.141615759,0.801641018
0.825269991,0.368708398
0.001014715,0.824900156
0.061082463,0.163226131
0.174914957,0.310958733
0.173794845,0.294643984
0.197710128,0.301747754
0.139775136,0.327709559
0.372651682,0.239432775
0.212536736,0.794940402
0.444173006,0.134595889
0.45176558,0.224394968
0.893061738,0.533704794
0.93475725,0.45829258
0.53461991,0.246700127
0.975520993,0.76192809
0.513153507,0.941478811
0.796918455,0.950890979
0.189325958,0.515719151
0.421457665,0.634310476
0.751615413,0.552479296
0.929107101,0.308879145
0.342239155,0.135575467
0.669538136,0.559723472
0.744011748,0.793449893
0.551614447,0.98663999
0.323418949,0.073551059
0.937817611,0.81591878
0.782190181,0.368497189
0.612327428,0.836914261
0.119577276,0.86445602
0.030964694,0.400862381
0.007511259,0.765404396
0.806539305,0.917040718
0.493238512,0.566601044
0.496010854,0.695909619
0.177001463,0.304617304
0.043285881,0.650165066
0.542077376,0.818011507
0.270089491,0.504680183
0.46289977,0.232249109
0.733486958,0.066457555
0.156487167,0.709783659
0.550780418,0.860682254
0.197134349,0.3245688
0.771529826,0.247609459
0.731293877,0.110940671
0.27107753,0.916958865
0.931163281,0.034705898
0.115776403,0.557506662
0.168689524,0.987754277
0.209377888,0.933313542
0.059753358,0.279776028
0.45412004,0.087535757
0.543745476,0.319530216
0.745695754,0.856101409
0.180929562,0.657073121
0.179550449,0.618186903
0.146874654,0.784877666
0.538097236,0.148090557
0.247276191,0.254220382
0.137015246,0.414689236
0.936449587,0.491423329
0.322004445,0.191684788
0.268131067,0.024844674
